,0
0,-266.2417907714844
1,-269.78857421875
2,-264.1039123535156
3,-251.90774536132812
4,-265.76800537109375
5,-265.73321533203125
6,-256.5666809082031
7,-263.51470947265625
8,-264.79473876953125
9,-264.2496032714844
10,-263.7702331542969
11,-306.7452392578125
12,-265.2228698730469
13,-299.51214599609375
14,-264.65582275390625
15,-245.12062072753906
16,-263.1800842285156
17,-260.9229431152344
18,-263.85797119140625
19,-254.09805297851562
20,-261.4021301269531
21,-263.68328857421875
22,-262.1184387207031
23,-265.4276428222656
24,-243.57363891601562
25,-236.83221435546875
26,-261.2537841796875
27,-260.913818359375
28,-262.824951171875
29,-264.9621887207031
30,-232.14547729492188
31,-265.8254699707031
32,-266.04107666015625
33,-264.3028564453125
34,-260.24078369140625
35,-263.2287902832031
36,-262.0
37,-263.3664855957031
38,-236.9571533203125
39,-267.5500793457031
40,-263.189208984375
41,-264.07611083984375
42,-266.14080810546875
43,-267.09100341796875
44,-264.39453125
45,-263.78533935546875
46,-263.76312255859375
47,-261.4851379394531
48,-260.05657958984375
49,-263.6016540527344
50,-261.2047119140625
51,-264.59765625
52,-264.91534423828125
53,-265.1761779785156
54,-265.010498046875
55,-263.5710144042969
56,-262.65887451171875
57,-264.392578125
58,-260.7091369628906
59,-265.390869140625
60,-263.6236877441406
61,-264.06915283203125
62,-266.3169860839844
63,-265.25701904296875
64,-264.05975341796875
65,-262.70867919921875
66,-263.5984802246094
67,-264.3919372558594
68,-262.6824035644531
69,-264.049072265625
70,-266.2474365234375
71,-262.24658203125
72,-262.2515869140625
73,-261.94073486328125
74,-260.8505859375
75,-262.52215576171875
76,-261.5
77,-264.8486022949219
78,-264.6806945800781
79,-264.7120056152344
80,-262.59808349609375
81,-261.68975830078125
82,-265.1488037109375
83,-250.52288818359375
84,-255.6197052001953
85,-264.22186279296875
86,-266.3441162109375
87,-265.6090393066406
88,-265.43353271484375
89,-264.7443542480469
90,-264.607666015625
91,-265.53179931640625
92,-263.5897216796875
93,-266.382568359375
94,-263.2502136230469
95,-263.11138916015625
96,-263.1883239746094
97,-265.92401123046875
98,-264.78253173828125
99,-244.60137939453125
